Spain,1485
Germany,1300
Brazil,1242
Portugal,1189
Argentina,1175
Switzerland,1149
Uruguay,1147
Colombia,1137
Italy,1104
England,1090
Belgium,1074
Greece,1064
USA,1035
Chile,1026
Netherlands,981
Ukraine,915
France,913
Croatia,893
Russia,893
Mexico,882
Bosnia and Herzegovenia,873
Algeria,858
Denmark,809
Cote d'Ivoire,809
Ghana,704
Iran,641
Nigeria,640
Japan,626
Cameroon,558
Korea,547
Australia,526
Honduras,731
Costa Rica,762Spain,1485
Germany,1300
Brazil,1242
Portugal,1189
Argentina,1175
Switzerland,1149
Uruguay,1147
Colombia,1137
Italy,1104
England,1090
Belgium,1074
Greece,1064
USA,1035
Chile,1026
Netherlands,981
Ukraine,915
France,913
Croatia,893
Russia,893
Mexico,882
Bosnia and Herzegovenia,873
Algeria,858
Denmark,809
Cote d'Ivoire,809
Ghana,704
Iran,641
Nigeria,640
Japan,626
Cameroon,558
Korea,547
Australia,526
Honduras,731
Costa Rica,762
